,cik,shares_outstanding2013,shares_outstanding2014,shares_outstanding2015,shares_outstanding2016,shares_outstanding2017,shares_outstanding2018,shares_outstanding2019,net_income2013,net_income2014,net_income2015,net_income2016,net_income2017,net_income2018,net_income2019,eps2013,eps2014,eps2015,eps2016,eps2017,eps2018,eps2019,cfo2013,cfo2014,cfo2015,cfo2016,cfo2017,cfo2018,cfo2019,debt_proceeds2013,debt_proceeds2014,debt_proceeds2015,debt_proceeds2016,debt_proceeds2017,debt_proceeds2018,debt_proceeds2019,debt_repayments2013,debt_repayments2014,debt_repayments2015,debt_repayments2016,debt_repayments2017,debt_repayments2018,debt_repayments2019,capex2013,capex2014,capex2015,capex2016,capex2017,capex2018,capex2019,ppe_purchase2013,ppe_purchase2014,ppe_purchase2015,ppe_purchase2016,ppe_purchase2017,ppe_purchase2018,ppe_purchase2019,ppe_sale2013,ppe_sale2014,ppe_sale2015,ppe_sale2016,ppe_sale2017,ppe_sale2018,ppe_sale2019,ppe2013,ppe2014,ppe2015,ppe2016,ppe2017,ppe2018,ppe2019,ppe_prev2013,ppe_prev2014,ppe_prev2015,ppe_prev2016,ppe_prev2017,ppe_prev2018,ppe_prev2019,revenue2013,revenue2014,revenue2015,revenue2016,revenue2017,revenue2018,revenue2019,operating_income2013,operating_income2014,operating_income2015,operating_income2016,operating_income2017,operating_income2018,operating_income2019,dep_amort2013,dep_amort2014,dep_amort2015,dep_amort2016,dep_amort2017,dep_amort2018,dep_amort2019,ebitda2013,ebitda2014,ebitda2015,ebitda2016,ebitda2017,ebitda2018,ebitda2019,shares_outstanding_coalesced2013,shares_outstanding_coalesced2014,shares_outstanding_coalesced2015,shares_outstanding_coalesced2016,shares_outstanding_coalesced2017,shares_outstanding_coalesced2018,shares_outstanding_coalesced2019,capex_coalesced2013,capex_coalesced2014,capex_coalesced2015,capex_coalesced2016,capex_coalesced2017,capex_coalesced2018,capex_coalesced2019,net_debt_proceeds2013,net_debt_proceeds2014,net_debt_proceeds2015,net_debt_proceeds2016,net_debt_proceeds2017,net_debt_proceeds2018,net_debt_proceeds2019,fcfe2013,fcfe2014,fcfe2015,fcfe2016,fcfe2017,fcfe2018,fcfe2019,fcfe_modded2013,fcfe_modded2014,fcfe_modded2015,fcfe_modded2016,fcfe_modded2017,fcfe_modded2018,fcfe_modded2019,ticker,avg_price2013,avg_price2014,avg_price2015,avg_price2016,avg_price2017,avg_price2018,avg_price2019,current_price
0,1800,1574000000.0,1527000000.0,1506000000.0,1483000000.0,1749000000.0,1770000000.0,1781000000.0,2576000000.0,2284000000.0,4423000000.0,1400000000.0,477000000.0,2368000000.0,3687000000.0,1.62,1.49,2.92,0.94,0.27,1.33,2.06,3324000000.0,3675000000.0,2966000000.0,3203000000.0,5570000000.0,6300000000.0,6136000000.0,,,,,,,,,,,,,,,,,,,,,,1145000000.0,1077000000.0,1110000000.0,1121000000.0,1135000000.0,1394000000.0,1638000000.0,,,,,,,,5905000000.0,5935000000.0,5730000000.0,5705000000.0,7607000000.0,7563000000.0,8038000000.0,8063000000.0,5905000000.0,5935000000.0,5730000000.0,5705000000.0,7607000000.0,7563000000.0,,,,,,,,2629000000.0,2599000000.0,2867000000.0,3185000000.0,1726000000.0,3650000000.0,4532000000.0,,,,,,,,2629000000.0,2599000000.0,2867000000.0,3185000000.0,1726000000.0,3650000000.0,4532000000.0,1574000000.0,1527000000.0,1506000000.0,1483000000.0,1749000000.0,1770000000.0,1781000000.0,1145000000.0,1077000000.0,1110000000.0,1121000000.0,1135000000.0,1394000000.0,1638000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2179000000.0,2598000000.0,1856000000.0,2082000000.0,4435000000.0,4906000000.0,4498000000.0,2179000000.0,2598000000.0,1856000000.0,2082000000.0,4435000000.0,4906000000.0,4498000000.0,abt,30.865045933496386,36.17746131382291,41.76108955201649,37.38903527032761,45.95503572258816,61.98292359127942,79.04222082616798,98
1,2488,766000000.0,776000000.0,791000000.0,931000000.0,1039000000.0,1079000000.0,1188000000.0,-83000000.0,-403000000.0,-660000000.0,-497000000.0,43000000.0,337000000.0,341000000.0,-0.11,-0.53,-0.84,-0.6,0.04,0.32,0.3,-148000000.0,-98000000.0,-226000000.0,90000000.0,68000000.0,34000000.0,493000000.0,,,,,,,,,,,,,,,,,,,,,,84000000.0,95000000.0,96000000.0,77000000.0,113000000.0,163000000.0,217000000.0,238000000.0,0.0,8000000.0,0.0,0.0,,,346000000.0,302000000.0,188000000.0,164000000.0,261000000.0,348000000.0,500000000.0,658000000.0,346000000.0,302000000.0,188000000.0,164000000.0,261000000.0,348000000.0,,,,,,,,103000000.0,-155000000.0,-481000000.0,-372000000.0,204000000.0,451000000.0,631000000.0,,,167000000.0,133000000.0,144000000.0,170000000.0,222000000.0,103000000.0,-155000000.0,-314000000.0,-239000000.0,348000000.0,621000000.0,853000000.0,766000000.0,776000000.0,791000000.0,931000000.0,1039000000.0,1079000000.0,1188000000.0,-154000000.0,95000000.0,88000000.0,77000000.0,113000000.0,163000000.0,217000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,-193000000.0,-314000000.0,13000000.0,-45000000.0,-129000000.0,276000000.0,6000000.0,-193000000.0,-314000000.0,13000000.0,-45000000.0,-129000000.0,276000000.0,amd,3.3785714393570307,3.662063511591109,2.3317460200143243,5.254920634485426,12.411673283671954,17.214501962243798,29.877649428834953,69
2,2969,,,217300000.0,218300000.0,219800000.0,220900000.0,222100000.0,,991700000.0,1277900000.0,631100000.0,3000400000.0,1497800000.0,1760000000.0,,4.61,5.88,2.89,13.65,6.78,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684200000.0,1614800000.0,1055800000.0,1039700000.0,1568400000.0,1989700000.0,,,,,,,,,9532100000.0,9636900000.0,8852700000.0,8440200000.0,9923700000.0,10337600000.0,,8974000000.0,9532100000.0,8745100000.0,8259700000.0,8440200000.0,9923700000.0,,,,,,8930200000.0,8918900000.0,,1328200000.0,1699100000.0,2106000000.0,1427600000.0,1965600000.0,2144400000.0,,956900000.0,936400000.0,925900000.0,865800000.0,970700000.0,1082800000.0,,2285100000.0,2635500000.0,3031900000.0,2293400000.0,2936300000.0,3227200000.0,,215119305.85683295,217300000.0,218300000.0,219800000.0,220900000.0,222100000.0,,1684200000.0,1614800000.0,1055800000.0,1039700000.0,1568400000.0,1989700000.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,apd,74.55965057251946,99.01603632124643,114.5342375134665,119.11020627097479,135.8048666539895,154.40474825551308,202.7526719294696,291
3,4127,,,194900000.0,192100000.0,186700000.0,183200000.0,174500000.0,,457700000.0,798300000.0,995200000.0,1010200000.0,918400000.0,853600000.0,,2.38,4.1,5.18,5.41,5.01,4.89,,,,,,,1367400000.0,,,,,,,,,0.0,,,,,,,208600000.0,430100000.0,189300000.0,303300000.0,422300000.0,398400000.0,,,,,,,,,,,,,,,,555900000.0,826400000.0,806300000.0,882300000.0,1140900000.0,1205600000.0,,328600000.0,555900000.0,826400000.0,806300000.0,882300000.0,1140900000.0,,,,,,,,,565200000.0,1023100000.0,1118700000.0,1253800000.0,1319300000.0,952000000.0,,,,,,,,,565200000.0,1023100000.0,1118700000.0,1253800000.0,1319300000.0,952000000.0,,192310924.3697479,194900000.0,192100000.0,186700000.0,183200000.0,174500000.0,,208600000.0,430100000.0,189300000.0,303300000.0,422300000.0,398400000.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,969000000.0,,,,,,,969000000.0,swks,21.678092600807307,43.89823222538781,82.85788324144151,66.31155881427583,95.6606517958926,89.49251848198028,82.0586695728074,131
4,4281,,,,,,,463000000.0,-2285000000.0,268000000.0,-322000000.0,-941000000.0,-74000000.0,642000000.0,470000000.0,-2.14,0.21,-0.31,-2.31,-0.28,1.3,1.03,1578000000.0,1674000000.0,1582000000.0,870000000.0,701000000.0,217000000.0,406000000.0,,,,,,,,,,,,,,,,,,,,,,1193000000.0,1219000000.0,1180000000.0,1125000000.0,596000000.0,768000000.0,586000000.0,,,,,,,,17639000000.0,16426000000.0,14815000000.0,5499000000.0,5594000000.0,5704000000.0,5463000000.0,18947000000.0,17639000000.0,16426000000.0,5425000000.0,5499000000.0,5594000000.0,5704000000.0,,,,,,,,,,,,326000000.0,1325000000.0,1035000000.0,1422000000.0,1372000000.0,1280000000.0,1132000000.0,551000000.0,576000000.0,536000000.0,1422000000.0,1372000000.0,1280000000.0,1132000000.0,877000000.0,1901000000.0,1571000000.0,1067757009.3457943,1276190476.1904762,1038709677.4193548,407359307.35930735,264285714.28571427,493846153.84615386,463000000.0,1193000000.0,1219000000.0,1180000000.0,1125000000.0,596000000.0,768000000.0,586000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385000000.0,455000000.0,402000000.0,-255000000.0,105000000.0,-551000000.0,-180000000.0,385000000.0,455000000.0,402000000.0,-255000000.0,105000000.0,-551000000.0,-180000000.0,hwm,,,,,,,29.213174724578856,15
5,4447,340900000.0,307700000.0,283600000.0,309900000.0,314100000.0,298200000.0,301200000.0,5052000000.0,2317000000.0,-3056000000.0,-6132000000.0,-4074000000.0,-282000000.0,-408000000.0,14.82,7.53,-10.78,-19.92,-13.12,-1.1,-1.37,4870000000.0,4464000000.0,1981000000.0,795000000.0,945000000.0,1939000000.0,1642000000.0,,,,,,,,,,,,,,,,,,,,,,5840000000.0,5274000000.0,,,,,,,,,,,,,28771000000.0,27517000000.0,26352000000.0,23595000000.0,16192000000.0,16083000000.0,16814000000.0,28807000000.0,28771000000.0,27517000000.0,26352000000.0,23595000000.0,16192000000.0,16083000000.0,24421000000.0,11439000000.0,6561000000.0,4844000000.0,5405000000.0,6466000000.0,6510000000.0,,,,,,,,2770000000.0,3224000000.0,3955000000.0,3244000000.0,2883000000.0,1883000000.0,2122000000.0,2770000000.0,3224000000.0,3955000000.0,3244000000.0,2883000000.0,1883000000.0,2122000000.0,340900000.0,307700000.0,283600000.0,309900000.0,314100000.0,298200000.0,301200000.0,5840000000.0,5274000000.0,-1165000000.0,-2757000000.0,-7403000000.0,-109000000.0,731000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970000000.0,-810000000.0,3146000000.0,3552000000.0,8348000000.0,2048000000.0,911000000.0,-970000000.0,-810000000.0,3146000000.0,3552000000.0,8348000000.0,2048000000.0,911000000.0,hes,64.17781725383941,77.78292583283923,57.914507608565074,48.639330122205955,43.994483294240034,55.76834867864965,59.875961531680886,50
6,4904,487040956.0,488899840.0,490574568.0,491662007.0,492611067.0,493758277.0,495306238.0,1480000000.0,,,,310500000.0,,,3.04,3.34,4.17,1.24,3.88,3.9,3.88,4106000000.0,4613000000.0,4748700000.0,4521800000.0,880000000.0,1028700000.0,4270100000.0,,,,,,,,,,,,,,,,,,,,,,32000000.0,65000000.0,5300000.0,107900000.0,9100000.0,37400000.0,918400000.0,62975000.0,6000000.0,3300000.0,,,,,40997000000.0,44117000000.0,46133200000.0,45639300000.0,50261500000.0,55099100000.0,60138100000.0,38763000000.0,40997000000.0,43635100000.0,46133200000.0,45639300000.0,50261500000.0,55099100000.0,15357000000.0,17020000000.0,16453200000.0,16380100000.0,15424900000.0,16195700000.0,15561400000.0,2855000000.0,3232000000.0,3333500000.0,1207100000.0,3570500000.0,2682700000.0,2592300000.0,,,,,,,,2855000000.0,3232000000.0,3333500000.0,1207100000.0,3570500000.0,2682700000.0,2592300000.0,487040956.0,488899840.0,490574568.0,491662007.0,492611067.0,493758277.0,495306238.0,-30975000.0,59000000.0,2000000.0,107900000.0,9100000.0,37400000.0,918400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4136975000.0,4554000000.0,4746700000.0,4413900000.0,870900000.0,991300000.0,3351700000.0,4136975000.0,4554000000.0,4746700000.0,4413900000.0,870900000.0,991300000.0,3351700000.0,aep,35.8723869929238,42.967058181762695,47.7277823554145,55.98077831571064,63.435902097785615,65.85740050661612,84.72208668986164,88
7,4962,1089000000.0,1051000000.0,1003000000.0,935000000.0,886000000.0,859000000.0,830000000.0,5359000000.0,5885000000.0,5163000000.0,5408000000.0,2736000000.0,6921000000.0,6759000000.0,4.88,,,,,,,,,,,,,13632000000.0,,,,,,,,,,,,,,,,,,,,,,1006000000.0,1195000000.0,1341000000.0,1375000000.0,1062000000.0,1310000000.0,1645000000.0,72000000.0,3000000.0,42000000.0,2000000.0,1000000.0,1000000.0,43000000.0,3875000000.0,3938000000.0,4108000000.0,4433000000.0,4329000000.0,4416000000.0,4834000000.0,3635000000.0,3875000000.0,3938000000.0,4108000000.0,4433000000.0,4329000000.0,4416000000.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089000000.0,1051000000.0,1003000000.0,935000000.0,886000000.0,859000000.0,830000000.0,934000000.0,1192000000.0,1299000000.0,1373000000.0,1061000000.0,1309000000.0,1602000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12030000000.0,,,,,,,12030000000.0,axp,65.49710435715933,81.58593174767874,71.72041348048619,59.73743016379221,80.67354416562267,97.63781969290804,114.10940636866596,95
8,4977,467408000.0,454000000.0,433172000.0,413921000.0,398930000.0,774650000.0,746430000.0,3158000000.0,2951000000.0,2533000000.0,2659000000.0,4604000000.0,2920000000.0,3304000000.0,6.76,6.5,5.85,6.42,11.54,3.77,4.43,10547000000.0,6550000000.0,6776000000.0,5987000000.0,6128000000.0,6014000000.0,5455000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481000000.0,429000000.0,427000000.0,433000000.0,434000000.0,443000000.0,581000000.0,564000000.0,481000000.0,429000000.0,427000000.0,433000000.0,434000000.0,443000000.0,23939000000.0,22728000000.0,20872000000.0,22559000000.0,21667000000.0,21758000000.0,22307000000.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467408000.0,454000000.0,433172000.0,413921000.0,398930000.0,774650000.0,746430000.0,-83000000.0,-52000000.0,-2000000.0,6000000.0,1000000.0,9000000.0,138000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10630000000.0,6602000000.0,6778000000.0,5981000000.0,6127000000.0,6005000000.0,5317000000.0,10630000000.0,6602000000.0,6778000000.0,5981000000.0,6127000000.0,6005000000.0,5317000000.0,afl,22.269426149035255,24.72586098171416,26.155109912630113,30.242910846831307,36.358058032761534,42.84480012080584,50.24063320083921,36
9,5272,1481206797.0,1447553652.0,1334464883.0,1091085131.0,930561286.0,910141242.0,896380725.0,9085000000.0,9665000000.0,3989000000.0,-238000000.0,1929000000.0,-6000000.0,3348000000.0,6.13,5.2,1.65,-0.78,-6.54,-0.01,3.74,6422000000.0,9316000000.0,4443000000.0,2515000000.0,1413000000.0,61000000.0,-928000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68678000000.0,64406000000.0,58953000000.0,52875000000.0,49520000000.0,47389000000.0,49746000000.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481206797.0,1447553652.0,1334464883.0,1091085131.0,930561286.0,910141242.0,896380725.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,aig,38.63428028046139,46.07208666725764,51.81582092103504,51.51016303471157,57.355885813435705,49.29027587769041,48.50974516849594,31
